modelName,BRbsg,BrBsmumu,gminus2,finetuning,Omegahsq,Xenonxsec,pSDxsec,lsp
100247010,-8.10177775245,-19.5569948998,-19.9343540344,6.50e+02,-3.10778177736,-107.579645485,-98.7642989208,Bino
100248319,-8.1560283422,-19.4340331887,-20.3600125776,3.08e+03,-3.61191841298,-109.767962484,-95.8541585776,Bino
100254446,-8.1665363198,-19.538475852,-19.9900329328,6.90e+02,-2.97397078177,-104.464961268,-98.4688347079,Bino
100254492,-8.02555038707,-19.4203530848,-20.0094340652,7.27e+03,-5.10769700694,-112.969385859,-103.991750171,Bino
100263287,-8.01339218259,-19.595094746,-20.038402876,5.99e+03,-2.69414729593,-111.504913717,-103.806279769,Bino
100277203,-7.99542762761,-19.4848916059,-20.0522620211,1.43e+03,-4.98350662671,-102.302605516,-94.4541291881,Bino
100277677,-7.93777477618,-19.5918637255,-20.0205644436,5.64e+03,-5.64362855184,-111.938778299,-105.277060392,Bino
100280355,-8.02249694958,-19.604850921,-20.0587239134,2.98e+02,-2.81174543744,-102.020990197,-90.6355293716,Bino
100281133,-7.9806998209,-19.604850921,-19.9770519354,1.86e+03,-2.52323176411,-111.16844148,-97.2901797116,Bino
100282068,-8.10840029322,-19.6654755428,-20.0919940601,2.88e+02,-2.7504359176,-101.036112355,-90.92783039,Bino
100291514,-8.02555038707,-19.595094746,-19.9680832655,5.36e+02,-3.91703554725,-106.451644737,-98.2318341219,Bino
100297963,-8.0286131766,-19.5446108406,-20.0198713399,4.70e+03,-2.88419089882,-110.238905521,-103.103505558,Bino
100298802,-7.94621364483,-19.6147032174,-19.9643309158,4.28e+02,-2.49495698564,-106.203933233,-98.0032010783,Bino
100307276,-8.00736806798,-19.3988468795,-20.1266295568,3.24e+03,-4.40631932724,-108.42852354,-104.149059644,Bino
100308085,-7.9777801108,-19.6015882753,-19.993449272,2.45e+03,-2.26336437984,-103.794260393,-92.3493042582,Bino
100312876,-7.9211077237,-19.686528952,-20.1393756423,2.83e+02,-3.25969781939,-100.825164077,-90.8114200381,Bino
100315934,-7.86747556878,-19.7263172021,-19.9624600079,3.96e+02,-2.14558134418,-102.305297308,-92.4920117108,Bino
100316373,-7.94057982711,-19.604850921,-20.0166103064,1.36e+03,-3.82584530919,-116.170541872,-100.525286731,Bino
100324592,-7.95757740348,-19.6081242463,-20.0097279667,4.11e+02,-2.17155683059,-101.965749329,-92.7363969775,Bino
100325684,-8.05660878409,-19.4451136344,-19.9540839701,2.00e+03,-6.90775527898,-112.627818698,-100.313112211,Bino
100329180,-7.9806998209,-19.6015882753,-20.0526199217,8.33e+02,-2.2827824657,-101.236783051,-92.9852930249,Bino
100329844,-7.98656494035,-19.6347038841,-20.129386658,6.91e+02,-4.77477297037,-107.914014671,-99.6963380097,Bino
100333998,-7.96043863576,-19.604850921,-19.9545474695,5.33e+02,-2.2827824657,-101.695004511,-94.996579405,Bino
100338249,-8.00736806798,-19.6015882753,-20.0593929991,9.04e+02,-3.51324688547,-104.34614035,-98.2836103915,Bino
100338791,-8.02555038707,-19.579043037,-20.1568163094,4.78e+03,-6.33114191468,-114.723789542,-101.625718857,Bino
100340844,-8.05660878409,-19.6081242463,-20.1005411207,3.51e+02,-2.91692109313,-103.485300922,-91.8257719832,Bino
100344761,-8.00138002614,-19.5476925071,-19.9912345383,3.45e+03,-2.40572585191,-107.170677746,-98.3745821697,Bino
100353223,-8.06293791914,-19.2881813117,-20.0619189689,2.33e+03,-2.48410696962,-102.446947825,-91.7318401633,Bino
100359642,-7.99246466248,-19.4367918111,-20.0528756435,1.92e+03,-2.9798589244,-107.584922542,-97.9533687046,Bino
100360392,-7.97196614093,-19.5507836997,-19.8561653493,2.15e+03,-5.52396404808,-112.272784443,-100.198602501,Bino
100360624,-7.98951045058,-19.6180090056,-20.1449684981,5.89e+02,-6.32553965913,-102.87439184,-90.1632242454,Bino
100367047,-7.98951045058,-19.6015882753,-19.9967322374,6.40e+02,-3.01389624418,-106.284197596,-97.2227384308,Bino
100369152,-8.06930736742,-19.604850921,-19.9961521068,5.45e+02,-2.93746336543,-101.824569716,-92.0641830066,Bino
100376170,-7.96330807819,-19.6114083215,-20.0097769587,3.68e+02,-2.45806999583,-104.62145113,-90.7196124889,Bino
100377801,-8.07893826049,-19.523301054,-20.0798342486,1.86e+03,-2.92807362508,-109.189083397,-101.106729922,Bino
100379469,-7.90200755233,-19.6313425364,-20.5384474,3.10e+02,-2.70455631185,-101.983174746,-90.4999838797,Bino
100388712,-7.96330807819,-19.59833624,-20.0245840009,2.61e+03,-2.5536138478,-107.899415872,-102.903379377,Bino
100397772,-8.00138002614,-19.5854328351,-19.9480779461,2.44e+03,-3.54737989184,-108.108170685,-102.212686185,Bino
100397861,-8.00138002614,-19.6213257582,-20.0103650499,5.47e+02,-3.03863977457,-101.786952852,-91.6912940689,Bino
100397868,-7.97196614093,-19.6516822207,-19.8955877634,4.12e+02,-2.32483070194,-101.43478242,-95.5330005759,Bino
100410769,-7.91287722456,-19.604850921,-20.2538874031,1.31e+02,-3.79869432012,-99.7598188892,-90.5285572521,Bino
100422815,-7.98656494035,-19.6015882753,-20.031479582,8.20e+03,-2.13707065452,-109.987591093,-106.118585473,Bino
100426519,-7.98362808068,-19.604850921,-20.0352317058,2.20e+03,-4.56594947283,-111.942902017,-100.921702004,Bino
100428684,-7.94057982711,-19.6313425364,-20.1838527563,3.56e+02,-2.5969561536,-101.264953928,-91.1556143208,Bino
100430419,-7.98951045058,-19.6015882753,-20.0178936868,2.31e+03,-2.31871447492,-113.237649846,-101.604096393,Bino
100439475,-7.98362808068,-19.5053901275,-20.0034767254,2.63e+02,-4.9747856412,-104.104089536,-96.6316128646,Bino
100443883,-7.96618577802,-19.6972242411,-20.079361423,9.73e+02,-3.76360300031,-107.67917508,-100.651056119,Bino
100444382,-7.88592141457,-19.5354224146,-19.9789503698,1.22e+03,-3.19907319757,-110.4752943,-102.167060024,Bino
100445428,-8.00736806798,-19.5476925071,-20.0326969774,5.65e+03,-2.93557835073,-107.262149149,-104.654787551,Bino
100454137,-7.87271118284,-19.5726938093,-20.0569761106,3.03e+02,-2.38814298136,-103.12774917,-92.6395471515,Bino
100456617,-7.998399398,-19.604850921,-20.0481298892,3.66e+02,-3.05336138639,-101.284185289,-91.7598140154,Bino
100476591,-7.88858453199,-19.5354224146,-20.0228948113,5.77e+03,-2.3979952778,-109.265623474,-95.3197826644,Bino
100478308,-8.00138002614,-19.5476925071,-20.0213571507,4.01e+02,-2.15416508788,-102.841602017,-93.0949569361,Bino
100488230,-8.06930736742,-19.6114083215,-20.0713053007,3.83e+02,-2.62003932378,-102.903379377,-91.8963895504,Bino
100495054,-8.02249694958,-19.5918637255,-20.0803598728,6.38e+02,-4.35831010806,-105.736592721,-96.586356273,Bino
100502127,-7.95757740348,-19.595094746,-20.0102179947,3.52e+03,-3.95806694393,-103.012013218,-95.0522524074,Bino
100513370,-7.96618577802,-19.604850921,-20.1377038671,9.20e+02,-2.63945740964,-108.182278658,-98.4515432108,Bino
100515403,-7.97196614093,-19.604850921,-19.8570060387,2.24e+03,-3.05973760353,-108.392287692,-100.998933352,Bino
100518105,-8.1987394603,-19.5601150271,-20.1053811409,4.51e+02,-2.56006132339,-101.87586301,-92.1318031943,Bino
100521601,-8.07893826049,-19.4176393789,-20.1432873545,2.61e+02,-3.9899845469,-100.850010076,-93.9422547965,Bino
100527265,-8.00138002614,-19.595094746,-20.0195249682,5.39e+03,-2.77258872224,-101.377749422,-95.2569600785,Bino
100535040,-7.86486800538,-19.3908998179,-20.0240371861,3.94e+03,-2.4973841713,-102.712111034,-101.515860276,Bino
100535118,-8.07250737015,-19.5822328324,-20.0877477692,6.70e+02,-2.25379492882,-105.148806056,-97.0666784425,Bino
100541314,-7.88326537052,-19.6620093348,-19.9379953675,4.21e+02,-4.55638002182,-102.012909345,-93.6405209706,Bino
100546617,-8.00736806798,-19.604850921,-20.132151382,1.80e+02,-2.88061946645,-101.738392019,-91.5324241732,Bino
100551225,-7.95757740348,-20.1299389917,-20.0729739667,2.75e+03,-3.04282388109,-104.013826123,-102.61938055,Bino
100551747,-8.04718956217,-19.511324863,-20.0390080502,6.19e+02,-4.38202663467,-102.020990197,-94.8937491636,Bino
100554655,-8.0164179035,-19.6015882753,-20.5800316689,3.18e+02,-2.61729583783,-106.180279042,-95.4304217032,Bino
100556192,-7.89125476055,-19.604850921,-20.0133107047,3.97e+02,-4.18645985113,-105.430334263,-90.1718823082,Bino
100559571,-8.02249694958,-19.5476925071,-19.9921968634,3.51e+03,-4.17990245058,-106.769885543,-97.956846969,Bino
100559821,-8.00138002614,-19.604850921,-19.9348084766,3.00e+02,-3.24933503235,-100.605708299,-91.5100768745,Bino
100568403,-8.05345917518,-19.5263176476,-19.992630212,1.75e+03,-4.65121412449,-101.747608674,-96.2767914893,Bino
100577596,-8.00436956499,-19.6015882753,-20.001628386,6.59e+02,-2.72265635349,-108.649210088,-93.1940478388,Bino
100584117,-8.18788944427,-19.5354224146,-20.1932259943,9.26e+02,-3.75075485783,-98.9816001965,-93.0922651445,Bino
100590195,-7.998399398,-19.6015882753,-20.0238384184,3.96e+03,-2.56655063883,-107.59556094,-95.9065723203,Bino
100593542,-8.03168537563,-19.5918637255,-20.0381004261,4.09e+03,-2.47812966551,-106.551907535,-102.641769545,Bino
100603794,-7.9211077237,-19.6213257582,-19.604850921,4.24e+02,-2.48051630149,-102.232537954,-91.7885929799,Bino
100604187,-7.99542762761,-19.5354224146,-20.0585181309,1.44e+03,-2.42814831597,-105.467838658,-99.516997081,Bino
100605746,-7.9806998209,-19.6015882753,-20.0276417265,8.01e+03,-3.16296819293,-108.801317866,-100.463593162,Bino
100617242,-7.90200755233,-19.604850921,-20.0224977693,6.96e+02,-2.30258509299,-103.96164037,-93.8931651863,Bino
100620961,-7.97196614093,-19.5886431108,-20.0472648152,1.23e+03,-2.42814831597,-104.226975144,-97.3210631833,Bino
100623763,-7.91287722456,-19.6213257582,-19.9883051536,3.99e+02,-2.95459033022,-101.200415406,-91.5495186065,Bino
100626563,-7.9777801108,-19.6015882753,-20.0150822716,5.26e+03,-6.51571319121,-110.085829533,-97.0869103465,Bino
100636577,-7.94904250103,-19.6114083215,-20.1118711583,4.03e+02,-2.46863967732,-101.284185289,-91.9378892813,Bino
100639812,-8.00138002614,-19.595094746,-20.0577982255,7.07e+02,-3.19174715748,-104.522669586,-107.751495741,Bino
100641321,-8.06293791914,-19.5758633841,-19.6147032174,2.38e+02,-2.62279035715,-111.829720922,-97.2481419984,Bino
100642000,-7.96330807819,-19.6114083215,-20.0668863806,5.97e+02,-2.87174629377,-105.461489431,-94.28377118,Bino
100645615,-7.92663259963,-19.6015882753,-20.0380500267,1.13e+03,-2.64085895156,-108.339157414,-100.539016924,Bino
100645828,-7.9777801108,-19.3804010338,-19.9212642515,4.72e+02,-2.59427518684,-103.46790918,-96.1097374047,Bino
100652347,-7.90471391392,-19.6147032174,-20.1010777453,8.07e+02,-2.4168742394,-105.927955022,-98.5729040678,Bino
100652578,-8.00736806798,-19.7080351572,-21.8319284615,4.69e+02,-2.27302629075,-101.394954147,-92.1663435195,Bino
100655533,-8.0286131766,-19.6900813536,-19.3001575027,3.33e+02,-2.17155683059,-100.949100978,-92.3844412495,Bino
100656999,-7.9806998209,-19.479111243,-20.0546675293,3.45e+03,-2.59427518684,-107.228247598,-100.132016896,Bino
100660053,-7.98656494035,-19.6015882753,-20.0252853556,5.38e+03,-3.24676102836,-110.708007302,-96.3864904066,Bino
100660594,-8.02555038707,-19.5854328351,-20.1102447009,2.92e+02,-2.81842325858,-104.14565828,-96.3031087976,Bino
100666902,-8.02555038707,-19.5918637255,-19.986101771,7.79e+02,-3.480240589,-108.367681881,-99.3313642629,Bino
100668999,-8.11841707146,-19.6147032174,-20.3211396301,3.24e+02,-3.26491976337,-103.942059325,-91.9636417774,Bino
100670348,-8.02249694958,-19.5886431108,-20.0082104043,3.88e+03,-2.1202635362,-110.649647687,-100.385524789,Bino
100675553,-8.00138002614,-19.6246535483,-20.0565653064,3.14e+02,-2.87528612048,-101.341115289,-91.5495186065,Bino
100682232,-8.0194528072,-19.579043037,-20.0754821981,2.20e+03,-2.51330612431,-110.484863751,-98.8978303134,Bino
100682690,-7.97486890059,-19.6246535483,-20.0541040191,7.04e+02,-4.00085421913,-99.0012086679,-92.9198491167,Bino
100693232,-8.00736806798,-19.604850921,-20.0184371516,4.92e+02,-3.21388828336,-100.998933352,-91.6716213033,Bino
100694751,-8.11506698457,-19.3856366478,-19.9402779524,5.96e+03,-4.98496754735,-99.5820885466,-92.2982027981,Bino
100696665,-8.02555038707,-19.4648048473,-20.0505764983,5.20e+03,-4.15409456663,-110.867984216,-102.255352632,Bino
100701388,-7.998399398,-19.4367918111,-20.0631068322,5.10e+03,-2.13707065452,-109.846050921,-95.1588859977,Bino
100701442,-7.89661670369,-19.6147032174,-20.0541040191,3.70e+02,-5.21950618612,-101.246085443,-92.8605562303,Bino
100702461,-7.89393213832,-19.5854328351,-20.0168569824,3.88e+03,-2.21640739675,-109.925247963,-100.777250721,Bino
100708474,-8.03168537563,-19.5726938093,-19.7127564298,2.00e+03,-2.86821895326,-109.11309749,-100.794950298,Bino
100718060,-8.03785823474,-19.6015882753,-20.0542064519,1.39e+03,-2.2827824657,-104.437309737,-95.6789544886,Bino
100719526,-7.98951045058,-19.6015882753,-20.0354830189,4.61e+03,-2.64930970608,-108.182278658,-102.531139916,Bino
100720594,-8.02555038707,-19.5446108406,-20.0453845901,2.81e+03,-2.73336800909,-109.627996439,-99.8008170797,Bino
100720928,-7.9547243345,-19.5476925071,-20.0086507498,3.65e+02,-3.74650856695,-106.762884348,-97.1930822212,Bino
100727093,-8.06293791914,-19.6900813536,-19.924408202,3.22e+02,-2.30458709566,-102.879165119,-90.1433089357,Bino
100728780,-7.94904250103,-19.8190476863,-20.0639340049,2.10e+03,-6.01575723968,-112.704451924,-101.796630347,Bino
100732801,-7.99542762761,-19.604850921,-19.9742110244,3.61e+02,-2.47456035773,-102.558538891,-92.8952668733,Bino
100740956,-7.91835669033,-19.3804010338,-20.0454861335,2.31e+03,-4.61219480093,-107.943867634,-105.130456917,Bino
100749440,-7.9806998209,-19.6015882753,-20.0173011527,1.89e+03,-5.73527314175,-107.090097259,-99.6555160151,Bino
100749579,-8.01037558905,-19.6936464198,-20.2507653275,4.67e+02,-2.18036746027,-101.985129781,-92.8352917286,Bino
100751938,-7.9777801108,-19.6114083215,-20.0018227872,2.08e+03,-3.02825546526,-99.9973358581,-90.4761258892,Bino
100753423,-7.96907178291,-19.6347038841,-20.0679243711,1.24e+03,-2.66212126921,-102.792153742,-92.1515440951,Bino
100756219,-7.98951045058,-19.5476925071,-20.1069997007,1.57e+03,-3.32701798349,-108.221499371,-101.778959204,Bino
100768976,-8.12177841916,-19.3147208669,-20.0951906531,4.58e+03,-2.90589156955,-113.59238743,-104.283808619,Bino
100770059,-7.88061636234,-19.4258026895,-19.9742110244,4.96e+02,-2.36659042297,-104.313484387,-93.7962232411,Bino
100784390,-8.09192545601,-19.5918637255,-19.9862931768,4.45e+02,-2.39579747472,-100.921702004,-92.4222325212,Bino
100790836,-7.88326537052,-19.5507836997,-20.2811474112,5.95e+02,-3.88246420319,-109.782147119,-99.1458339021,Bino
100791124,-7.87271118284,-19.579043037,-20.03860456,1.39e+03,-2.71658653212,-105.014696127,-99.6904032741,Bino
100806292,-7.99542762761,-19.6213257582,-20.0877477692,8.76e+02,-2.17155683059,-107.012539025,-99.9476524379,Bino
100810504,-7.92940652651,-19.6246535483,-20.0698995264,4.87e+02,-5.28047744842,-102.964003999,-91.3425978907,Bino
100814546,-8.04718956217,-19.579043037,-20.0800970262,4.52e+02,-3.19418321228,-102.316137523,-91.361466375,Bino
100825620,-8.0164179035,-19.6015882753,-20.0075258077,8.00e+02,-5.69581430501,-105.309148706,-97.2227384308,Bino
100849815,-7.94904250103,-19.579043037,-20.0499642846,2.20e+03,-3.3696987146,-109.103388676,-102.34656864,Bino
100854108,-7.94339276849,-19.4451136344,-20.0048896023,2.87e+03,-2.2827824657,-108.267543309,-102.761913857,Bino
100863424,-8.0286131766,-19.6081242463,-20.0754298791,4.87e+02,-2.8612013806,-101.596107003,-92.00809354,Bino
100868271,-7.94057982711,-19.6380765686,-19.9948963107,3.32e+02,-3.93734081341,-102.242613606,-92.6276523639,Bino
100876398,-7.9074276198,-19.6147032174,-19.959194318,5.21e+02,-7.48578965244,-102.757667566,-93.3763693956,Bino
100877491,-7.99542762761,-19.6015882753,-20.0199703253,4.75e+03,-2.57439381629,-114.233166625,-107.297240469,Bino
100878373,-7.99542762761,-19.5886431108,-20.0241862877,7.41e+03,-3.07477548089,-101.218433912,-90.6588404505,Bino
100894701,-7.97486890059,-19.604850921,-19.9978450958,4.90e+02,-6.3144284337,-110.626117189,-103.965886661,Bino
100898598,-8.17715588863,-19.5538844774,-19.4203530848,3.83e+02,-3.70095203535,-100.998933352,-91.8963895504,Bino
100904598,-7.98362808068,-19.6313425364,-20.2414571623,4.06e+02,-2.64507540194,-101.795010913,-90.5473665841,Bino
100906930,-7.88061636234,-19.6414606666,-20.0679243711,4.33e+02,-3.36390159692,-104.875110226,-92.0836010925,Bino
100911828,-7.98951045058,-19.604850921,-19.9366283133,3.93e+02,-2.44876760317,-100.748430283,-92.6655226379,Bino
100912543,-7.94904250103,-19.604850921,-20.0474682947,6.63e+02,-3.4737680745,-111.724729478,-99.0111589987,Bino
100918575,-8.08866281038,-19.595094746,-20.0090423308,3.86e+02,-2.87174629377,-103.940675242,-96.7166060774,Bino
100919977,-7.99246466248,-19.520293533,-20.0701076646,5.02e+02,-2.13707065452,-104.138890065,-95.5836443088,Bino
100927290,-8.15951874714,-19.6114083215,-20.0498112897,4.51e+02,-2.59829933714,-101.891778465,-91.2618365341,Bino
2000052,-7.86486800538,-19.3546264111,-19.9629274068,4.47e+02,-4.72508048266,-102.19322085,-95.4472760348,Wino
2000768,-7.99542762761,-19.4705028685,-19.9936902998,7.02e+03,-4.11047394415,-107.849935814,-102.349381581,Wino
2000906,-7.9777801108,-19.604850921,-19.7662171126,3.88e+02,-4.88224207933,-102.232537954,-94.2404743743,Wino
2001143,-7.93777477618,-19.595094746,-19.95176969,1.12e+03,-7.06792403113,-106.820316397,-98.9249813025,Wino
2001245,-8.02249694958,-19.461967966,-20.0872182484,7.28e+03,-5.20300718674,-113.265174519,-104.505491249,Wino
2001406,-8.00138002614,-19.604850921,-20.2128402932,9.05e+02,-8.14218729079,-109.545758341,-97.6974353305,Wino
2001470,-8.00736806798,-19.6380765686,-20.0851029647,3.87e+02,-5.05930046608,-102.783420062,-93.7747170359,Wino
2001614,-8.0164179035,-19.6015882753,-19.9817571555,4.35e+02,-6.03646191304,-103.558060277,-94.7727140925,Wino
2002205,-7.998399398,-19.4591391098,-19.9784754232,3.19e+03,-6.77672701658,-108.344797587,-101.915224084,Wino
2002381,-7.9777801108,-19.6114083215,-20.0631585105,1.60e+03,-4.07454193493,-106.612061458,-98.4983353723,Wino
2002593,-8.09192545601,-19.59833624,-19.8142011502,4.71e+02,-5.68104298769,-104.426010182,-95.9907341126,Wino
2002963,-7.98362808068,-19.604850921,-20.0229940964,2.04e+02,-6.04909365994,-101.156740343,-92.7806775512,Wino
200305,-8.00436956499,-19.604850921,-20.0532849344,4.38e+03,-5.35806737095,-108.099281738,-97.6050620103,Wino
200357,-7.96043863576,-19.6015882753,-20.0044021779,2.54e+03,-6.07920346142,-107.346030633,-101.02856515,Wino
2003602,-8.0164179035,-19.6015882753,-20.1080801979,1.64e+03,-4.8743576758,-108.533474136,-99.0666717087,Wino
2003625,-7.95757740348,-19.6081242463,-20.0762673124,1.04e+03,-8.19510969225,-108.498571264,-97.9995580871,Wino
2003671,-8.07250737015,-19.4563182335,-20.0861600473,3.99e+03,-2.97789235543,-111.724729478,-99.5558861742,Wino
2003700,-7.98362808068,-19.5822328324,-19.9984262097,3.20e+03,-6.50229017087,-107.83623697,-100.586195484,Wino
2004008,-8.00138002614,-19.5854328351,-20.049097623,6.97e+03,-5.43757943388,-113.896694389,-102.294573345,Wino
2004022,-7.99246466248,-19.6015882753,-20.0257581771,7.41e+03,-2.52198565803,-105.996875819,-102.077313737,Wino
2004178,-8.00138002614,-19.6015882753,-20.3482599363,3.29e+02,-4.32753844939,-102.87439184,-94.2404743743,Wino
2004388,-8.03168537563,-19.4095421687,-20.1867724664,3.31e+03,-6.21962064025,-115.154572458,-100.651056119,Wino
2004663,-8.0286131766,-19.5083530926,-20.0053284876,1.31e+03,-6.88795265169,-106.957372644,-98.5474249825,Wino
2004871,-7.94057982711,-19.6081242463,-19.3344745956,2.67e+02,-5.69284253462,-102.846220963,-94.1748770918,Wino
2005176,-8.00436956499,-19.5538844774,-20.0856313663,6.20e+03,-6.22972173623,-112.644348,-102.068766676,Wino
